PC1,PC2,PC3,Ticker,Cluster
0.11477849720969134,-0.104863089538409,-0.05119513282839212,EW,0.0
-0.17741528162782425,0.07128500327466346,0.019807492930214797,F,20.0
-0.7256219398364505,0.04549799322090969,0.36653493463907394,FANG,28.0
-0.5185252231452083,-0.256273140947597,0.2966623568492571,FCX,11.0
0.06676851930324428,-0.017935713742280403,-0.07397419459011174,FIS,1.0
0.06812793516612545,0.001046685373042544,-0.09465070207533476,FISV,1.0
-0.39344934805958176,0.07519369962227815,0.0284143299868008,FITB,17.0
-0.09252441944626595,0.3647488490577408,-0.16800527780632035,FRT,34.0
-0.19542861110361248,0.10182478670190497,0.05574182088743594,GE,27.0
0.23191280467158532,-0.08841133952319992,0.14726969477767377,GILD,24.0
0.3511623962664538,0.1086142536882465,0.1302390315112941,GIS,19.0
-0.24016148012603272,0.022322468531989215,-0.05340778299165308,GM,20.0
-0.021545180602905844,-0.09314705944907287,-0.12865116417881714,GPN,2.0
-0.181410656495307,-0.0484490131579297,0.06284724043948363,GS,14.0
-0.6347910908009227,0.02817564880257158,0.2853603102124378,HAL,28.0
0.1263442257521339,-0.10440013784034316,-0.07305037133945043,HOLX,25.0
0.3428827634600772,0.08573618259371808,0.11117638605963145,HRL,19.0
0.06478650468572375,0.06920883442310968,0.016710752851543838,HSIC,30.0
-0.06829972497778855,-0.00679405629511979,0.0688602574458697,HUBB,8.0
0.11125112555854375,-0.0004754239810016644,0.002955158547265311,HUM,26.0
0.037844201475625436,0.00880547661769904,0.05774881486174687,IBM,12.0
0.02826778645786133,-0.03679465379506698,0.07474158447860142,IEX,9.0
0.1540287960920697,-0.2696867183234831,0.03259959032833158,INCY,24.0
0.13913990058931225,-0.14794137652233405,-0.08855644885781123,INTU,3.0
0.0828277773765123,-0.13656313288046246,-0.09827287437553865,ISRG,0.0
-0.429909988650694,0.07379893357895524,0.043213399661569604,KEY,17.0
-0.18775270361583968,0.3970517818635838,-0.1934154082955164,KIM,34.0
-0.13801688574532997,-0.13556681113782398,-0.004892910289776542,KKR,10.0
0.028197811816533403,-0.25878076620480966,-0.10202929816426254,KLAC,7.0
0.31209055029488203,0.11807216362670023,0.09080455020851082,KMB,19.0
-0.2579430451175674,0.07687399955005611,0.15215988690225157,KMI,29.0
-0.08959685618842904,0.03812770819410738,-0.16671492101688543,LEN,37.0
0.07224888841164102,0.006485803102655655,-0.09471550220862802,LH,25.0
0.04916445029025571,-0.012712225071752743,0.07407685903875724,LIN,12.0
0.29074675821593465,0.2668988593684046,0.004293040922380613,LNT,36.0
-0.07760174281973467,-0.3198329134684699,-0.16577973587119016,LRCX,7.0
-0.0020034420468002492,-0.11275874011177242,-0.08980460141144618,MA,2.0
0.17116948807698662,0.24760313159953937,-0.11609779810130864,MAA,33.0
-0.11110556347488348,-0.27142598866603007,-0.13347565831046487,MCHP,7.0
0.1207695834770901,0.002881443455308498,0.13402437626074287,MCK,30.0
0.060019667424321105,0.048246416989618256,-0.04376641744181685,MDT,0.0
-0.23113781898935423,0.022532571824790102,0.10925761485410532,MET,16.0
-0.4138157060666529,0.05249542629958208,-0.009098893797341969,MPC,27.0
0.008164592102470536,-0.3752994367181664,-0.09107850533471282,MPWR,7.0
0.21349456994523242,0.02363427525913204,0.06813970094564277,MRK,23.0
0.11090939317065349,0.03020131517358964,0.009970038479652134,MRSH,4.0
-0.2226589583518662,-0.07962557293082284,0.07925345761502914,MS,14.0
-0.2262955786650603,0.1323265299400408,0.10805534479245095,MTB,15.0
-0.1954546275916084,-0.45309518630222273,-0.07361893903443788,MU,7.0
-0.7407393377880174,0.1937942698903289,-0.5080158400236415,NCLH,21.0
0.19564486060653657,0.016423720396092363,0.02431554257668048,NDAQ,4.0
0.1937817932650784,-0.3824404000293497,-0.06666150044029645,NFLX,5.0
-0.06818201946698216,-0.023137133681465437,0.09158510925682337,NSC,9.0
-0.1511341467843813,-0.025038414342003452,0.10895850058221425,NTRS,14.0
0.02632019456736945,0.0758881971392013,-0.14113649002067508,NVR,37.0
-0.17157897934192978,-0.24966523657096407,-0.16719404685274566,NXPI,7.0
-0.5958555652132989,0.14240919404539906,0.15531192242929612,OKE,29.0
-0.3762886924349311,-0.35188124355201345,-0.2700435262609631,ON,7.0
-0.6327596123448126,0.1544137164848666,0.3793860916721438,OXY,28.0
0.17246566709389957,0.25504468501701383,-0.01890700766210286,PEG,35.0
0.25710397082222386,0.10888879683988614,0.035377783252145405,PEP,18.0
-0.3100651068125018,0.05566843962998137,0.03509163303816045,PFG,16.0
0.28507541024917077,0.09244759431879127,0.09924383910552202,PG,18.0
-0.2346836139277609,-0.014664250011393175,0.03830623346645671,PH,8.0
-0.06686995539610749,0.0645159377566061,-0.17046352707788717,PHM,37.0
0.19883391767282232,0.29199550668103136,-0.0823141730200761,PNW,35.0
-0.30562083303113335,0.05071308175228341,0.0899372733198161,PRU,16.0
-0.1892924373761511,0.06368598535864949,-0.02748393826415128,PSKY,20.0
-0.29592121659187626,0.10106191751274933,0.10786710909112761,PSX,27.0
0.020877815335852288,-0.22384613525562164,-0.021231028432908437,QCOM,7.0
-0.6308825742049552,0.1435076167592898,-0.43551704581003337,RCL,21.0
-0.0978209814999003,0.38012359763115205,-0.1932286684226815,REG,34.0
